Created on 11-22-2020,https://www.CryptoDataDownload.com
Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume BTC,Volume USD
1605830400.0,2020-11-20,BTCUSD,17824.13,18234.99,17773.37,18113.58,173.44,3124710.12
1605744000.0,2020-11-19,BTCUSD,17801.21,18177.93,17367,17824.13,648.25,11571312.72
1605657600.0,2020-11-18,BTCUSD,17685.78,18475.39,17002,17801.21,1593.92,28459068.29
1605571200.0,2020-11-17,BTCUSD,16722.99,17871.94,16578.05,17685.78,977.37,16938093.61
1605484800.0,2020-11-16,BTCUSD,15975.9,16890,15884.05,16722.99,563.25,9313382.63
1605398400.0,2020-11-15,BTCUSD,16096.16,16170.56,15802.61,15975.9,200.33,3203115.89
1605312000.0,2020-11-14,BTCUSD,16344.16,16344.17,15750,16096.16,371.28,5938994.69
1605225600.0,2020-11-13,BTCUSD,16302.24,16498.86,15974.91,16344.16,464.64,7566540.66
1605139200.0,2020-11-12,BTCUSD,15714.19,16354.98,15495,16302.24,704.56,11248412.05
1605052800.0,2020-11-11,BTCUSD,15323.87,15980.02,15299.76,15714.19,539.16,8449496.69
1604966400.0,2020-11-10,BTCUSD,15332.43,15478.46,15106.86,15323.87,448.36,6872050.02
1604880000.0,2020-11-09,BTCUSD,15484.44,15848.99,14818,15332.43,769.21,11761434.99
1604793600.0,2020-11-08,BTCUSD,14845.15,15664.74,14732.4,15484.44,386.82,5900301.01
1604707200.0,2020-11-07,BTCUSD,15592.14,15750,14448.72,14845.15,911.75,13777700.5
1604620800.0,2020-11-06,BTCUSD,15602.36,15976.66,15211.15,15592.14,1189.22,18548176.33
1604534400.0,2020-11-05,BTCUSD,14169,15765.06,14119.24,15602.36,1031.59,15381733.71
1604448000.0,2020-11-04,BTCUSD,14035.99,14268.72,13560.89,14169,686.17,9599349.86
1604361600.0,2020-11-03,BTCUSD,13576.98,14079.43,13302.93,14035.99,470.02,6450902.29
